"OD15IGUAL15",1471.6780277257183,-284847.63718210894,43.60273866497863,92.16217
"OD15IGUAL14",1471.6829241359558,-284847.6392994074,43.60163888110568,92.16310
"OD14",1471.6753926613928,-284847.625019588,44.00119738846215,10"
"11016",1521.908168368414,-284901.3704704003,46.26846980768389,10"
"11015",1485.9876469205371,-284884.8463622324,45.937201177089094,"SINALVERTICAL"
"11014",1486.4924591807796,-284884.8067425513,45.95370123774275,"SINALVERTICAL"
"11013",1498.9588070445698,-284875.47910031374,45.70428239656449,"CANDSC"
"11012",1507.0405261193634,-284862.3408600174,45.38081780273505,"ARV"
"11011",1506.9770964667534,-284862.00046760106,45.37067937964451,"ARV"
"11010",1507.3364971559643,-284861.8788028344,45.39139336591919,"ARV"
"11009",1486.8217496678956,-284862.1211292897,45.35135223958203,"CAVILHA"
"11008",1486.8097752159945,-284860.7198112029,45.45063753127618,"CANDSC"
"11007",1488.0357162892449,-284857.55550227256,45.440886460344345,"CANDSC"
"11006",1481.3301118077661,-284852.9276014109,44.80331478849161,"CIP1D"
"11005",1470.6822503820474,-284859.3047035404,44.887438031875746,"CANDSC"
"11004",1470.722962276198,-284859.2373505713,44.90823838111658,"CANDSC"
"11003",1472.123336389369,-284864.83745804755,45.14161949511978,"CANDSC"
"11002",1471.4416881070902,-284863.75892652187,45.052866945155365,"ARV"
"11001",1471.592561537151,-284863.91162966256,45.112687307525725,"ARV"
"11000",1471.5805391184845,-284863.97737138515,45.11954323928722,"ARV"
"OD13",1476.4623619766019,-284882.37394229113,45.54090449432797,I"
"OD13",1476.4602719321665,-284882.37457107275,45.540971395829345,I"
"10140",1475.6312108877955,-284883.3272570838,45.614108094651876,I"
"10139",1479.2444472143643,-284884.76998172386,45.96070424602316,I"
"10138",1482.5272807768492,-284885.1696951326,46.03879937895569,I"
"10137",1483.507028402935,-284878.80927017494,45.8428786079235,"CANDSC"
"10136",1483.5040982925927,-284878.80922317924,45.84374934296684,"CANDSC"
"10135",1480.414198532113,-284875.41055258014,45.80944247005361,"ARV"
"10134",1480.585012634945,-284875.4315623926,45.84466310292634,"ARV"
"10133",1480.568876054744,-284875.6073960009,45.87482892889851,"ARV"
"10132",1477.1326943871863,-284872.07979415887,45.62626478870007,"ARV"
"10131",1477.3085783803347,-284872.05914982926,45.667845482850595,"ARV"
"10130",1477.3524158707478,-284872.24709921685,45.622684086030304,"ARV"
"10129",1473.943196574602,-284868.4276169456,45.469570699401835,"ARV"
"10128",1474.0460130891204,-284868.46262911934,45.479679494043864,"ARV"
"10127",1474.0767415234575,-284868.5626433185,45.464079929190845,"ARV"
"10126",1472.1086400976592,-284864.82700627006,45.145151848843206,"CANDSC"
"10125",1472.1104319710712,-284864.8289460181,45.1470164808658,"CANDSC"
"10124",1470.7303634757686,-284861.0879527075,44.808179073557405,I"
"10123",1470.0909067226964,-284852.01598223974,44.2729099313982,I"
"10122",1470.2565369394586,-284849.71568086365,44.16289268597889,I"
"10121",1470.7047243679046,-284846.824052703,43.89258288369427,I"
"10120",1471.3193306199921,-284847.0101677527,43.96623333851204,CC"
"10119",1471.175264761801,-284847.65170746023,43.99481510521914,CC"
"10118",1470.6205927691346,-284850.7316235692,44.152295842494695,CC"
"10117",1470.593086488926,-284852.64010267647,44.29148124879574,CC"
"10116",1474.7371063321466,-284849.3443603453,44.10108183047085,"COTA"
"10115",1475.5280557373956,-284854.37454809505,44.486757271930216,"COTA"
"10114",1477.9294466468202,-284861.2875005821,45.04992153004852,"COTA"
"10113",1471.3622986471494,-284860.0441645699,44.80936709415698,CC"
"10112",1471.6812674389084,-284861.724578302,44.92170837120194,CC"
"10111",1472.7478263100265,-284864.96076482837,45.16215601733333,CC"
"10110",1473.9342155590357,-284866.99621499464,45.31944149417571,CC"
"10109",1477.4355878030167,-284871.0052432086,45.508965251837914,CC"
"10108",1480.217431145837,-284874.1527079894,45.63699255635069,CC"
"10107",1503.1836452148216,-284875.9378201711,45.72915165522182,"COTA"
"10106",1514.3332174645802,-284883.9365259945,45.835407315208066,"COTA"
"10105",1518.663515381338,-284895.70092234196,46.138804302625296,"PIN"
"10104",1518.6567895400794,-284895.3682000082,46.170047998345254,"PIN"
