"OD15IGUAL15",1471.6656420415786,-284847.53739986685,43.60273866497863,92.16217
"OD15IGUAL14",1471.6705403261956,-284847.5395142083,43.60163888110568,92.16310
"OD14",1471.6630074640434,-284847.525233068,44.00119738846215,10"
"11016",1521.9546141379863,-284901.2948944142,46.26846980768389,10"
"11015",1485.9978397185564,-284884.7875669443,45.937201177089094,"SINALVERTICAL"
"11014",1486.5032746481907,-284884.7480471363,45.95370123774275,"SINALVERTICAL"
"11013",1498.9938370895643,-284875.41333146073,45.70428239656449,"CANDSC"
"11012",1507.081642871573,-284862.23747746483,45.38081780273505,"ARV"
"11011",1507.0178338043202,-284861.8964775547,45.37067937964451,"ARV"
"11010",1507.3772145083117,-284861.7747401048,45.39139336591919,"ARV"
"11009",1486.8133234580048,-284862.01733618067,45.35135223958203,"CAVILHA"
"11008",1486.8030145408918,-284860.61364223616,45.45063753127618,"CANDSC"
"11007",1488.034098335438,-284857.4442099953,45.440886460344345,"CANDSC"
"11006",1481.3223916706509,-284852.821742878,44.80331478849161,"CIP1D"
"11005",1470.668131740441,-284859.2148755204,44.887438031875746,"CANDSC"
"11004",1470.7088515394878,-284859.14742237766,44.90823838111658,"CANDSC"
"11003",1472.1096499731075,-284864.7532584151,45.14161949511978,"CANDSC"
"11002",1471.4278163723911,-284863.6737206907,45.052866945155365,"ARV"
"11001",1471.5787156951267,-284863.82652950496,45.112687307525725,"ARV"
"11000",1471.5667018449492,-284863.8923606825,45.11954323928722,"ARV"
"OD13",1476.461493966136,-284882.31083663134,45.54090449432797,I"
"OD13",1476.4594034110144,-284882.31146528706,45.540971395829345,I"
"10140",1475.6308227914462,-284883.2646124327,45.614108094651876,I"
"10139",1479.2477609555922,-284884.70923221594,45.96070424602316,I"
"10138",1482.5338543555524,-284885.11009593896,46.03879937895569,I"
"10137",1483.5074067763887,-284878.746282432,45.8428786079235,"CANDSC"
"10136",1483.504473536567,-284878.74623361335,45.84374934296684,"CANDSC"
"10135",1480.407901437211,-284875.34184362856,45.80944247005361,"ARV"
"10134",1480.5788233614107,-284875.3629648553,45.84466310292634,"ARV"
"10133",1480.56288722217,-284875.53903643694,45.87482892889851,"ARV"
"10132",1477.1222641871057,-284872.0050850167,45.62626478870007,"ARV"
"10131",1477.2981520972041,-284871.9844209955,45.667845482850595,"ARV"
"10130",1477.3421423206685,-284872.1726731899,45.622684086030304,"ARV"
"10129",1473.9305370363077,-284868.34766957426,45.469570699401835,"ARV"
"10128",1474.033368014292,-284868.3827031752,45.479679494043864,"ARV"
"10127",1474.0641377481463,-284868.4828559587,45.464079929190845,"ARV"
"10126",1472.094951502105,-284864.7428006167,45.145151848843206,"CANDSC"
"10125",1472.0967437585275,-284864.74474196945,45.1470164808658,"CANDSC"
"10124",1470.7162445796514,-284861.0000250716,44.808179073557405,I"
"10123",1470.0773312045992,-284851.92024176125,44.2729099313982,I"
"10122",1470.243304763511,-284849.61827615445,44.16289268597889,I"
"10121",1470.6920208730976,-284846.7246477207,43.89258288369427,I"
"10120",1471.3068689814436,-284846.91035488865,43.96623333851204,CC"
"10119",1471.1626593633396,-284847.55235064204,43.99481510521914,CC"
"10118",1470.6073596968224,-284850.63456566626,44.152295842494695,CC"
"10117",1470.5795888283217,-284852.5443998966,44.29148124879574,CC"
"10116",1474.7259165967926,-284849.2428703602,44.10108183047085,"COTA"
"10115",1475.5160712904917,-284854.27580789593,44.486757271930216,"COTA"
"10114",1477.9163967530394,-284861.1941616196,45.04992153004852,"COTA"
"10113",1471.348249146221,-284859.9546349258,44.80936709415698,CC"
"10112",1471.6672514383588,-284861.63674696104,44.92170837120194,CC"
"10111",1472.7341756761011,-284864.87640254764,45.16215601733333,CC"
"10110",1473.9210521971236,-284866.91417010245,45.31944149417571,CC"
"10109",1477.4243974910012,-284870.92879279586,45.508965251837914,CC"
"10108",1480.209614877195,-284874.08203341294,45.63699255635069,CC"
"10107",1503.2244754688422,-284875.86557799845,45.72915165522182,"COTA"
"10106",1514.3777392530797,-284883.85930295894,45.835407315208066,"COTA"
"10105",1518.7086564009883,-284895.62589634565,46.138804302625296,"PIN"
"10104",1518.7019396814799,-284895.2930639892,46.170047998345254,"PIN"
"10103",1519.0286886834208,-284895.2284316834,46.1435426990238,"PIN"
"10102",1508.7443722509513,-284887.74648899183,46.11712678255188,"PIN"
"10101",1508.7717345154429,-284887.35189841257,46.08329513554268,"PIN"
"10100",1508.4186209222976,-284887.349568865,46.067754712888416,"PIN"
"10099",1506.4005615940673,-284879.8298945176,45.750424508487605,"COTA"
"10098",1504.7305911614328,-284872.87512023194,45.82759936190774,"PIN"
"10097",1504.3181467577365,-284872.82291111845,45.762758997386236,"PIN"
"10096",1504.3944506936946,-284872.4086721626,45.66594927338606,"PIN"
"10095",1504.3946491124996,-284872.408137958,45.666458896566226,"PIN"
"10094",1503.182082141188,-284871.7515347782,45.61633984824912,"CANDSC"
"10093",1504.7524900186445,-284870.398727788,45.496189947455655,"REGA"
"10092",1504.9543044234938,-284870.243556728,45.52966267612554,"REGA"
"10091",1505.179878522242,-284870.5544875902,45.52891956234477,"REGA"
"10090",1506.6269749100038,-284868.5323691243,45.46592169574049,"CANDSC"
"10089",1507.9716998461452,-284856.4474420364,45.081027120697634,CC"
"10088",1509.8022426029884,-284858.37247448333,45.12241056125547,CC"
"10087",1509.8017913438669,-284858.37169637595,45.12267974771248,CC"
"10086",1511.4407397390846,-284855.1020846569,45.41918459694021,"SOL"
"10085",1510.756014441592,-284855.82839484804,45.27083877723161,"SOL"
"10084",1509.4674380018969,-284855.8635562789,45.080784515458426,"FLO"
"10083",1510.2160895764735,-284855.19807941274,45.273384859358096,"FLO"
"10082",1511.272109788464,-284856.33198016655,45.27449726037464,"FLO"
"10081",1510.5154856459114,-284856.9994837489,45.11434769161476,"FLO"
